,cumsumduration,cumsumwinner,cumsum_hitsTotal,cumsum_hitsSuccessful,cumsum_takedownTotal,cumsum_takedownSuccessful,cumsum_submissionAttempts,cumsum_takeovers,cumsum_accentedHitsTotal,cumsum_accentedHitsSuccessful,cumsum_knockdowns,cumsum_protectionPassage,cumsum_hitsHeadTotal,cumsum_hitsHeadSuccessful,cumsum_hitsBodyTotal,cumsum_hitsBodySuccessful,cumsum_hitsLegsTotal,cumsum_hitsLegsSuccessful,cumsum_accentedHitsPositionDistanceTotal,cumsum_accentedHitsPositionDistanceSuccessful,cumsum_accentedHitsPositionClinchTotal,cumsum_accentedHitsPositionClinchSuccessful,cumsum_accentedHitsPositionParterTotal,cumsum_accentedHitsPositionParterSuccessful,cumsumwinMethods_[DEC],cumsumwinMethods_[DQ],cumsumwinMethods_[KO],cumsumwinMethods_[SUB],eventDate.date,fighterId,duration,winner,fighter_nbr,count_of_fights,fighterName
4905,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2016-12-10 00:00:00,589,300.0,True,1,0,Viviane Pereira
5091,300.0,1,66.0,22.0,0.0,0.0,0.0,0.0,61.0,18.0,0.0,0.0,47.0,10.0,8.0,3.0,6.0,5.0,58.0,16.0,3.0,2.0,0.0,0.0,1,0,0,0,2017-06-03 00:00:00,589,300.0,True,1,1,Viviane Pereira
5291,600.0,2,147.0,58.0,0.0,0.0,0.0,0.0,141.0,54.0,0.0,0.0,120.0,40.0,14.0,8.0,7.0,6.0,137.0,51.0,4.0,3.0,0.0,0.0,2,0,0,0,2017-11-11 00:00:00,589,300.0,False,2,2,Viviane Pereira
5586,900.0,2,169.0,74.0,0.0,0.0,0.0,0.0,146.0,57.0,0.0,0.0,124.0,42.0,15.0,9.0,7.0,6.0,142.0,54.0,4.0,3.0,0.0,0.0,3,0,0,0,2018-06-23 00:00:00,589,300.0,False,2,3,Viviane Pereira
4874,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2016-11-26 00:00:00,590,300.0,True,1,0,Jenel Lausa
5032,300.0,1,40.0,22.0,0.0,0.0,0.0,0.0,40.0,22.0,0.0,0.0,40.0,22.0,0.0,0.0,0.0,0.0,40.0,22.0,0.0,0.0,0.0,0.0,1,0,0,0,2017-04-08 00:00:00,590,300.0,False,2,1,Jenel Lausa
5309,600.0,1,60.0,36.0,0.0,0.0,0.0,0.0,44.0,23.0,0.0,0.0,44.0,23.0,0.0,0.0,0.0,0.0,43.0,22.0,0.0,0.0,1.0,1.0,2,0,0,0,2017-11-18 00:00:00,590,300.0,False,2,2,Jenel Lausa
5588,900.0,1,80.0,43.0,0.0,0.0,0.0,0.0,58.0,25.0,0.0,0.0,57.0,24.0,0.0,0.0,1.0,1.0,54.0,23.0,0.0,0.0,4.0,2.0,3,0,0,0,2018-06-23 00:00:00,590,244.0,False,2,3,Jenel Lausa
3079,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2012-12-14 00:00:00,591,300.0,True,2,0,Robert Whittaker
3259,300.0,1,101.0,37.0,0.0,0.0,0.0,0.0,101.0,37.0,0.0,0.0,95.0,34.0,6.0,3.0,0.0,0.0,97.0,34.0,4.0,3.0,0.0,0.0,1,0,0,0,2013-05-25 00:00:00,591,41.0,True,1,1,Robert Whittaker
3338,341.0,2,113.0,45.0,0.0,0.0,0.0,0.0,113.0,45.0,0.0,0.0,107.0,42.0,6.0,3.0,0.0,0.0,106.0,40.0,4.0,3.0,3.0,2.0,1,0,1,0,2013-08-28 00:00:00,591,300.0,False,2,2,Robert Whittaker
3553,641.0,2,187.0,67.0,0.0,0.0,0.0,0.0,187.0,67.0,0.0,0.0,181.0,64.0,6.0,3.0,0.0,0.0,180.0,62.0,4.0,3.0,3.0,2.0,2,0,1,0,2014-02-22 00:00:00,591,223.0,False,2,3,Robert Whittaker
